_id,date,productivity,posture,categories.Software Development,categories.Reference & Learning,categories.Utilities,categories.Uncategorized,categories.Social Networking,categories.News & Opinion,categories.Business,categories.Communication & Scheduling,categories.Design & Composition,usage
5ff7391c540a9521640c417a,2021-01-07T16:38:51.889Z,0.6626865671641791,0.12,216.35,118.96666666666667,29.833333333333332,10.2,7.45,5.55,1.8333333333333333,1.8166666666666667,0.5,5.583333333333333
5ff73a4e540a9521640d1f8d,2021-01-07T16:43:55.529Z,-0.7065217391304348,-0.11,216.5,119.61666666666666,29.95,10.2,8,9.9,1.8333333333333333,1.8166666666666667,0.5,1.5333333333333334
5ff73b7f8ad605c6576a0abe,2021-01-07T16:48:59.015Z,-1.5982905982905984,0.61,216.56666666666666,121.45,29.966666666666665,10.2,9.1,12.316666666666666,1.8333333333333333,1.8166666666666667,0.5,1.9500000000000002
5ff73cac8ad605c6576ae287,2021-01-07T16:54:02.848Z,0.4153846153846154,1.22,216.58333333333334,121.61666666666666,29.983333333333334,10.2,11.066666666666666,13.8,1.8333333333333333,1.8166666666666667,0.5,3.25
5ff73ddcd9f882e925d20ceb,2021-01-07T16:59:07.470Z,-1.3707865168539326,-0.55,217.6,122.7,29.983333333333334,10.216666666666667,14.433333333333334,13.816666666666666,1.8333333333333333,1.8166666666666667,0.5,1.4833333333333334
5ff740882d6550ce2bdd567a,2021-01-07T17:10:30.094Z,1.0402298850574712,-1.59,218.76666666666668,123.01666666666667,30.433333333333334,10.45,15.716666666666667,17.316666666666666,1.8333333333333333,1.8166666666666667,0.5,2.9
5ff741b673ba9d92e5bb3926,2021-01-07T17:15:33.745Z,1.7019230769230769,0.21,219.91666666666666,123.51666666666667,30.6,10.45,15.716666666666667,17.316666666666666,1.8333333333333333,1.8166666666666667,0.5,1.7333333333333334
5ff742e673ba9d92e5bc20f7,2021-01-07T17:20:37.046Z,0.13986013986013987,1.22,219.91666666666666,127.08333333333333,32.666666666666664,10.45,16.783333333333335,17.316666666666666,1.8333333333333333,1.9166666666666667,0.5,2.3833333333333333
5ff744158ad605c657706362,2021-01-07T17:25:40.538Z,1.408376963,1.7,221.6,130.03333333333333,32.733333333333334,10.466666666666667,16.8,17.4,1.8333333333333333,2.816666666666667,0.5,3.183333333333333
5ff7454573ba9d92e5bdde81,2021-01-07T17:30:44.125Z,-0.5411764705882353,1.8,221.6,130.95,32.93333333333333,12.233333333333333,17.583333333333332,17.4,1.8333333333333333,2.816666666666667,0.5,2.833333333333333
